....................................X...............O...............O...............O...........................X.O.X...........O.O.............X.X...........X.XO...............................................................,.X
....................................................O...............................O...........................X...............................................X................................................................,.X
....................................X...............O...............O...............O...........................X.O.X...........................................X................................................................,.X
....................................X...............O...............O...............O...........................X.O.X...........................X...............X................................................................,.X
....................................X...............O...............O...............O...........................X.O.X...........O.O.............X.............X.X................................................................,.X
....................................................O...............................O...........................X...X...........................................X................................................................,.X
....................................X...............O...............O...............O...........................X...X...........................................X................................................................,.X
....................................................O...............O...............O...........................X...X...........................................X................................................................,.X
...................................................................................................O............X.O..............X............X.O.............X..................................................................,.X
.................................................................................................OOO............X.O...........XXXX............X.O.............X...............O..................................................,.X
.................................................................................................OOO............X.O...........XX.X............X.O.............X...............O..................................................,.X
..................................................................................................OO............X.O..............X............X.O.............X..................................................................,.X
..................................................................................................OO............X.O...........XX.X............X.O.............X...............O..................................................,.X
.................................................................................................OOO............X.O...........XXXXO...........X.O.............X...............O..................................................,.X
................................................................................................................X.O...........................X.O.............X..................................................................,.X
................................................................................................................X.O.............................O.............X..................................................................,.X
...................................................................................................O............X.O...........................X.O.............X..................................................................,.X
..................................................................................................OO............X.O...........X..X............X.O.............X..................................................................,.X
..................................................................................................OO............X.O...........X..X............X.O.............X...............O..................................................,.X
..................................................................................O.O...........................X...............................................X................................................................,.X
..................................................................................O.O...........................X.X.............................................X................................................................,.X
..................................................................................OXO...........................XOX.............O.O...............X...........X.X................................................................,.X
..................................................................................OXO...........................XOX.............O.O...............X.............X................................................................,.X
..................................................................................OXO...........................XOX.............O...............................X................................................................,.X
..................................................................................OXO...........................XOX.............OOO...............X...........X.X................................................................,.X
..................................................................................OXO...........................XOX.............O.................X.............X................................................................,.X
..................................................................................OXO...........................XOX.............OOOX..............X...........X.X................................................................,.X
..................................................................................O.O...........................XOX.............................................X................................................................,.X
..................................................................................OXO...........................XOX.............................................X................................................................,.X
..................................................................................OXO...........................XOX.............OOOX..............X...........X.XO...............................................................,.X
.................................................................................................O.O............X.O...........................X...............X..................................................................,.X
....................................................................O...............X............O.OX...........X.O...........O...............X...............X..................................................................,.X
....................................................................................X............O.O............X.O...........................X...............X..................................................................,.X
....................................................................O...............X............O.OX...........X.O...........O...X...........X...............X..................................................................,.X
...................................................................................................O............X.O...........................................X..................................................................,.X
....................................................................O...............X............O.OX...........X.O.O.........O...X...........X...............X..................................................................,.X
....................................................................O...............X............O.OX...........X.O.O.........O...X...........X.X.............X..................................................................,.X
....................................................................................X............O.O............X.O...........O...............X...............X..................................................................,.X
....................................................................O...............X............O.OX...........X.O.O.........O...X...........X.XO............X..................................................................,.X
....................................................................................X............O.OX...........X.O...........O...............X...............X..................................................................,.X
...................................................................................................O............X.O...........................X...............X..................................................................,.X
..................................................................................OOO...........................XX..............................................X................................................................,.X
.................................................................................XOOOXO............O............XX..............X...............................X................................................................,.X
....................................................................................O...........................X................................................................................................................,.XXX
.................................................................................XOOO...........................XX..............................................X................................................................,.X
.................................................................................XOOOXO............O............XX..............X...............O...............X................................................................,.X
.................................................................................XOOOXO............O............XXOX............X...............O...............X................................................................,.X
.................................................................................XOOOXO............O............XX..............................................X................................................................,.X
...................................................................................OO...........................XX..............................................X................................................................,.X
.................................................................................XOOO.O.........................XX..............................................X................................................................,.X
.................................................................................XOOOXO.........................XX..............................................X................................................................,.X
.................................................................................XOOOXO............O............XX.X............X...............O...............X................................................................,.X
...................................................................................OO...........................X...............................................X................................................................,.X
....................................................................................O...............X...........X.XOO...........O.X.O.............O............OXXX..............................................................,.X
....................................................................................O...........................X.X.O...........O.X.O...........................X................................................................,.X
....................................................................................O...............X...........X.X.O...........O.X.O...........................X................................................................,.X
....................................................................................O...........................X.X.O...........O...............................X................................................................,.X
....................................................................................O...............X...........X.XOO...........O.X.O...........................X.X..............................................................,.X
....................................................................................O...............X...........X.XOO...........O.X.O.............O.............XXX..............................................................,.X
....................................................................................O...........................X.X.O...........O.X.............................X................................................................,.X
....................................................................................O...........................X.X.O...........................................X................................................................,.X
....................................................................................O...............X...........X.XOO...........O.X.O...........................X................................................................,.X
....................................................................................O...........................X...O...........................................X................................................................,.X
